Name,MUE 139
Chord(mm),250
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
250.000000,0.000000
249.732500,0.065000
248.930000,0.257500
247.597500,0.572500
245.740000,0.997500
243.367500,1.512500
240.485000,2.102500
237.110000,2.755000
233.252500,3.475000
228.932500,4.272500
224.170000,5.152500
218.980000,6.112500
213.387500,7.145000
207.417500,8.242500
201.095000,9.397500
194.447500,10.602500
187.500000,11.860000
180.285000,13.175000
172.835000,14.555000
165.180000,15.992500
157.352500,17.460000
149.387500,18.930000
141.315000,20.362500
133.175000,21.722500
125.000000,22.985000
116.825000,24.137500
108.685000,25.190000
100.612500,26.157500
92.647500,27.037500
84.820000,27.782500
77.165000,28.335000
69.715000,28.655000
62.500000,28.737500
55.552500,28.597500
48.905000,28.202500
42.582500,27.477500
36.612500,26.412500
31.020000,25.060000
25.830000,23.490000
21.067500,21.722500
16.747500,19.737500
12.890000,17.537500
9.515000,15.165000
6.632500,12.600000
4.260000,9.880000
2.402500,7.050000
1.070000,4.245000
0.267500,1.867500
0.000000,0.000000
0.267500,-1.555000
1.070000,-3.055000
2.402500,-4.612500
4.260000,-5.950000
6.632500,-6.917500
9.515000,-7.565000
12.890000,-7.917500
16.747500,-8.022500
21.067500,-7.915000
25.830000,-7.687500
31.020000,-7.402500
36.612500,-7.112500
42.582500,-6.815000
48.905000,-6.487500
55.552500,-6.140000
62.500000,-5.717500
69.715000,-5.205000
77.165000,-4.660000
84.820000,-4.167500
92.647500,-3.782500
100.612500,-3.470000
108.685000,-3.162500
116.825000,-2.852500
125.000000,-2.562500
133.175000,-2.310000
141.315000,-2.102500
149.387500,-1.942500
157.352500,-1.820000
165.180000,-1.720000
172.835000,-1.627500
180.285000,-1.535000
187.500000,-1.435000
194.447500,-1.325000
201.095000,-1.207500
207.417500,-1.087500
213.387500,-0.970000
218.980000,-0.862500
224.170000,-0.767500
228.932500,-0.685000
233.252500,-0.620000
237.110000,-0.555000
240.485000,-0.475000
243.367500,-0.377500
245.740000,-0.265000
247.597500,-0.160000
248.930000,-0.075000
249.732500,-0.020000
250.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.267500,0.156250
1.070000,0.595000
2.402500,1.218750
4.260000,1.965000
6.632500,2.841250
9.515000,3.800000
12.890000,4.810000
16.747500,5.857500
21.067500,6.903750
25.830000,7.901250
31.020000,8.828750
36.612500,9.650000
42.582500,10.331250
48.905000,10.857500
55.552500,11.228750
62.500000,11.510000
69.715000,11.725000
77.165000,11.837500
84.820000,11.807500
92.647500,11.627500
100.612500,11.343750
108.685000,11.013750
116.825000,10.642500
125.000000,10.211250
133.175000,9.706250
141.315000,9.130000
149.387500,8.493750
157.352500,7.820000
165.180000,7.136250
172.835000,6.463750
180.285000,5.820000
187.500000,5.212500
194.447500,4.638750
201.095000,4.095000
207.417500,3.577500
213.387500,3.087500
218.980000,2.625000
224.170000,2.192500
228.932500,1.793750
233.252500,1.427500
237.110000,1.100000
240.485000,0.813750
243.367500,0.567500
245.740000,0.366250
247.597500,0.206250
248.930000,0.091250
249.732500,0.022500
250.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
250.000000,0.000000
